"X","광역시도","시군","pop","moon","hong","ahn","electionSum","electionRatio"
77,"경기도","수원시팔달구",123458,49814,27782,28228,105824,85.7165999773202
78,"경기도","수원시영통구",220307,105181,33354,46872,185407,84.1584697717276
79,"경기도","성남시수정구",149414,63867,28395,36752,129014,86.346660955466
80,"경기도","성남시중원구",146801,62729,27896,36512,127137,86.6049958787747
81,"경기도","성남시분당구",338076,139853,71332,74040,285225,84.3671245518759
82,"경기도","의정부시",270404,110580,57027,65003,232610,86.0231357524297
83,"경기도","안양시만안구",167995,70454,35189,38671,144314,85.9037471353314
84,"경기도","안양시동안구",230674,101278,43072,51966,196316,85.1053868229623
85,"경기도","부천시",543777,239697,100544,128297,468538,86.1636295760946
86,"경기도","광명시",218795,97959,39081,51958,188998,86.3813158435979
87,"경기도","평택시",273677,104574,62827,64057,231458,84.5734204920399
88,"경기도","양주시",121344,46286,29739,28469,104494,86.1138581223629
89,"경기도","동두천시",55487,19444,15733,12808,47985,86.4797159695064
90,"경기도","안산시상록구",226266,98564,39723,55067,193354,85.4542883155224
91,"경기도","안산시단원구",187253,80771,33862,45779,160412,85.6659172349709
92,"경기도","고양시덕양구",287087,120063,55157,61581,236801,82.4840553560419
93,"경기도","고양시일산동구",188297,81622,34980,41166,157768,83.7867836449864
94,"경기도","고양시일산서구",192610,85919,35147,41563,162629,84.4343492030528
95,"경기도","과천시",40789,16528,9055,8736,34319,84.1378803108681
96,"경기도","의왕시",103913,43869,21218,23602,88689,85.3492825729216
97,"경기도","구리시",123469,51181,26113,28698,105992,85.8450299265403
98,"경기도","남양주시",397972,165079,86026,92048,343153,86.2254128431146
99,"경기도","오산시",118683,52358,21829,27201,101388,85.4275675539041
100,"경기도","화성시",386002,176940,69014,84967,330921,85.730384816659
101,"경기도","시흥시",239227,103732,43248,58119,205099,85.7340517583717
102,"경기도","군포시",186084,82551,34784,41883,159218,85.5624341695148
103,"경기도","하남시",138937,57298,31793,30999,120090,86.4348589648546
104,"경기도","파주시",256847,107148,55347,54921,217416,84.6480589611714
105,"경기도","여주시",65695,20474,21581,14545,56600,86.1557196133648
106,"경기도","이천시",121841,44109,33301,26695,104105,85.4433236759383
107,"경기도","용인시처인구",134872,50423,33153,32027,115603,85.7131205884098
108,"경기도","용인시수지구",225513,95325,50229,47125,192679,85.4403072106708
109,"경기도","용인시기흥구",261414,116017,53405,55393,224815,85.9996021636179
110,"경기도","안성시",106490,39380,26693,25193,91266,85.7038219551132
111,"경기도","김포시",225075,93697,48490,51081,193268,85.8682661335111
112,"경기도","광주시",199221,80175,45030,46829,172034,86.3533462837753
113,"경기도","포천시",90620,27632,28030,22505,78167,86.2580004414037
114,"경기도","연천군",28675,8384,9557,6805,24746,86.2981691368788
115,"경기도","양평군",71056,21329,24800,15653,61782,86.9483224498987
116,"경기도","가평군",38897,10873,13865,9089,33827,86.9655757513433
117,"강원도","춘천시",175879,66874,43494,38684,149052,84.7468998572883
118,"강원도","원주시",204233,77495,50750,45776,174021,85.2070918999378
119,"강원도","강릉시",132395,41565,44421,26895,112881,85.2607726877903
120,"강원도","동해시",55542,17184,19009,11345,47538,85.5892837852436
121,"강원도","삼척시",44097,13496,15971,8185,37652,85.3844932761866
122,"강원도","태백시",28101,9557,10046,4971,24574,87.4488452368243
123,"강원도","정선군",23859,8270,8323,4489,21082,88.3607862860975
124,"강원도","속초시",46985,15045,13883,11031,39959,85.046291369586
125,"강원도","고성군",18692,5664,6511,3964,16139,86.3417504814894
126,"강원도","양양군",17853,5017,6687,3868,15572,87.2234358371142
127,"강원도","인제군",20751,6574,6009,4759,17342,83.5718760541661
128,"강원도","홍천군",43648,13851,13549,10023,37423,85.7381781524927
129,"강원도","횡성군",29447,8833,10423,6479,25735,87.3943016266513
130,"강원도","영월군",25925,8067,8779,5753,22599,87.1706846673095
131,"강원도","평창군",27444,8591,9348,5998,23937,87.2212505465675
